K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K01009|E2.7.7.103;_L-glutamine-phosphate_cytidylyltransferase_[EC:2.7.7.103]
K07507|mgtC;_putative_Mg2+_transporter-C_(MgtC)_family_protein
K01669|phr,_PHR1;_deoxyribodipyrimidine_photo-lyase_[EC:4.1.99.3]
K00662|aacC;_aminoglycoside_3-N-acetyltransferase_[EC:2.3.1.81]
K04047|dps;_starvation-inducible_DNA-binding_protein
K04750|phnB;_PhnB_protein
K08970|rcnA;_nickel/cobalt_transporter_(NicO)_family_protein
K07243|FTR,_FTH1,_efeU;_high-affinity_iron_transporter
K05303|K05303;_O-methyltransferase_[EC:2.1.1.-]
K01246|tag;_DNA-3-methyladenine_glycosylase_I_[EC:3.2.2.20]
K23398|TRIP4;_activating_signal_cointegrator_1
K02238|comEC;_competence_protein_ComEC
K18601|K18601;_aldehyde_dehydrogenase_[EC:1.2.1.-]
K01406|prtC;_serralysin_[EC:3.4.24.40]
K25154|evrC;_viologen_exporter_family_transport_system_permease_protein
K03976|ybaK,_ebsC;_Cys-tRNA(Pro)/Cys-tRNA(Cys)_deacylase_[EC:3.1.1.-]
K03830|yafP;_putative_acetyltransferase_[EC:2.3.1.-]
K21817|blh;_beta-carotene_15,15'-dioxygenase_[EC:1.13.11.63]
K05570|mnhF,_mrpF;_multicomponent_Na+:H+_antiporter_subunit_F
K01297|ldcA;_muramoyltetrapeptide_carboxypeptidase_[EC:3.4.17.13]
K25156|evrA;_viologen_exporter_family_transport_system_ATP-binding_protein
K07002|RBBP9;_serine_hydrolase_[EC:3.-.-.-]
K03496|parA,_soj;_chromosome_partitioning_protein
K07738|nrdR;_transcriptional_repressor_NrdR
K01759|GLO1,_gloA;_lactoylglutathione_lyase_[EC:4.4.1.5]
K06876|phrB;_(6-4)DNA_photolyase_[EC:4.1.99.13]
K01725|cynS;_cyanate_lyase_[EC:4.2.1.104]
K13677|dgs,_bgsA;_1,2-diacylglycerol-3-alpha-glucose_alpha-1,2-glucosyltransferase_[EC:2.4.1.208]
K22837|ubaA;_SAMP-activating_enzyme_[EC:2.7.7.100]
K10027|crtI;_phytoene_desaturase_[EC:1.3.99.26_1.3.99.28_1.3.99.29_1.3.99.31]
K20611|crtD;_1-hydroxy-2-isopentenylcarotenoid_3,4-desaturase_[EC:1.3.99.37]
K06880|ereA_B;_erythromycin_esterase_[EC:3.1.1.-]
K08974|K08974;_putative_membrane_protein
K08977|cruF;_bisanhydrobacterioruberin_hydratase_[EC:4.2.1.161]
K08981|K08981;_putative_membrane_protein
K25155|evrB;_viologen_exporter_family_transport_system_permease_protein
K06147|ABCB-BAC;_ATP-binding_cassette,_subfamily_B,_bacterial
K20616|lyeJ;_lycopene_elongase/hydratase_(dihydrobisanhydrobacterioruberin-forming)_[EC:2.5.1.150]
K13281|uvsE,_UVE1;_UV_DNA_damage_endonuclease_[EC:3.-.-.-]
K06222|dkgB;_2,5-diketo-D-gluconate_reductase_B_[EC:1.1.1.346]
K18918|relB;_RHH-type_transcriptional_regulator,_rel_operon_repressor_/_antitoxin_RelB
K02864|RP-L10,_MRPL10,_rplJ;_large_subunit_ribosomal_protein_L10
K00857|tdk,_TK;_thymidine_kinase_[EC:2.7.1.21]
K10800|SMUG1;_single-strand_selective_monofunctional_uracil_DNA_glycosylase_[EC:3.2.2.-]
K13288|orn,_REX2,_REXO2;_oligoribonuclease_[EC:3.1.-.-]
K05835|rhtC;_threonine_efflux_protein
K01482|DDAH,_ddaH;_dimethylargininase_[EC:3.5.3.18]
K03569|mreB;_rod_shape-determining_protein_MreB_and_related_proteins
K03775|slyD;_FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlyD_[EC:5.2.1.8]
K21147|moeZR,_moeBR;_sulfur-carrier_protein_adenylyltransferase/sulfurtransferase_[EC:2.7.7.80_2.7.7.-_2.8.1.11_2.8.1.-]
K07393|ECM4,_yqjG;_glutathionyl-hydroquinone_reductase_[EC:1.8.5.7]
K16216|yueD;_benzil_reductase_((S)-benzoin_forming)_[EC:1.1.1.320]
K03169|topB;_DNA_topoisomerase_III_[EC:5.6.2.1]
K07053|E3.1.3.97;_3',5'-nucleoside_bisphosphate_phosphatase_[EC:3.1.3.97]
K00682|GGCT;_gamma-glutamylcyclotransferase_[EC:4.3.2.9]
K16927|cbrT;_energy-coupling_factor_transport_system_substrate-specific_component
K07029|dagK;_diacylglycerol_kinase_(ATP)_[EC:2.7.1.107]
K01972|E6.5.1.2,_ligA,_ligB;_DNA_ligase_(NAD+)_[EC:6.5.1.2]
K06902|UMF1;_MFS_transporter,_UMF1_family
K00801|FDFT1;_farnesyl-diphosphate_farnesyltransferase_[EC:2.5.1.21]
K24131|prsW;_protease_PrsW_[EC:3.4.-.-]
K13500|fcbD;_chondroitin_synthase_[EC:2.4.1.175_2.4.1.226]
K06999|K06999;_phospholipase/carboxylesterase
K06039|ychN;_uncharacterized_protein_involved_in_oxidation_of_intracellular_sulfur
K01259|pip;_proline_iminopeptidase_[EC:3.4.11.5]
K07313|pphA;_serine/threonine_protein_phosphatase_1_[EC:3.1.3.16]
K00496|alkB1_2,_alkM;_alkane_1-monooxygenase_[EC:1.14.15.3]
K03575|mutY;_A/G-specific_adenine_glycosylase_[EC:3.2.2.31]
K10563|mutM,_fpg;_formamidopyrimidine-DNA_glycosylase_[EC:3.2.2.23_4.2.99.18]
K00060|tdh;_threonine_3-dehydrogenase_[EC:1.1.1.103]
K11927|rhlE;_ATP-dependent_RNA_helicase_RhlE_[EC:3.6.4.13]
K17231|IYD,_DEHAL1;_iodotyrosine_deiodinase_[EC:1.21.1.1]
K00518|sodN;_nickel_superoxide_dismutase_[EC:1.15.1.1]
K00683|QPCT;_glutaminyl-peptide_cyclotransferase_[EC:2.3.2.5]
K01023|assT;_arylsulfate_sulfotransferase_[EC:2.8.2.22]
K08997|SELENOO,_selO;_protein_adenylyltransferase_[EC:2.7.7.108]
K02342|dnaQ;_DNA_polymerase_III_subunit_epsilon_[EC:2.7.7.7]
K00507|SCD,_desC;_stearoyl-CoA_desaturase_(Delta-9_desaturase)_[EC:1.14.19.1]
K07192|FLOT;_flotillin
K05844|rimK;_ribosomal_protein_S6--L-glutamate_ligase_[EC:6.3.2.-]
K02928|RP-L41e,_RPL41;_large_subunit_ribosomal_protein_L41e
K00989|rph;_ribonuclease_PH_[EC:2.7.7.56]
K00432|gpx,_btuE,_bsaA;_glutathione_peroxidase_[EC:1.11.1.9]
K06133|LYS5,_acpT;_4'-phosphopantetheinyl_transferase_[EC:2.7.8.-]
K07390|grxD,_GLRX5;_monothiol_glutaredoxin
K11249|eamB;_cysteine/O-acetylserine_efflux_protein
K01304|pcp;_pyroglutamyl-peptidase_[EC:3.4.19.3]
K01262|pepP;_Xaa-Pro_aminopeptidase_[EC:3.4.11.9]
K07300|chaA,_CAX;_Ca2+:H+_antiporter
K00057|gpsA;_glycerol-3-phosphate_dehydrogenase_(NAD(P)+)_[EC:1.1.1.94]
K21449|ata,_sadA,_emaA;_trimeric_autotransporter_adhesin
K01620|ltaE;_threonine_aldolase_[EC:4.1.2.48]
K05524|fdxA;_ferredoxin
K00569|TPMT,_tpmT;_thiopurine_S-methyltransferase_[EC:2.1.1.67]
K15067|amnD;_2-aminomuconate_deaminase_[EC:3.5.99.5]
K00262|E1.4.1.4,_gdhA;_glutamate_dehydrogenase_(NADP+)_[EC:1.4.1.4]
K15268|eamA;_O-acetylserine/cysteine_efflux_transporter
K23167|VAT1;_synaptic_vesicle_membrane_protein_VAT-1
K07146|K07146;_UPF0176_protein
K09696|natB;_sodium_transport_system_permease_protein
K02283|cpaF,_tadA;_pilus_assembly_protein_CpaF_[EC:7.4.2.8]
K08714|VGSC;_voltage-gated_sodium_channel
K04096|smf;_DNA_processing_protein
K01673|cynT,_can;_carbonic_anhydrase_[EC:4.2.1.1]
K07182|K07182;_CBS_domain-containing_protein
K00803|AGPS,_agpS;_alkyldihydroxyacetonephosphate_synthase_[EC:2.5.1.26]
K19089|cas5a_b_c;_CRISPR-associated_protein_Cas5a/b/c
K26933|kdgF;_unsaturated_pyranuronate_lyase_[EC:4.2.99.25]
K19086|csa4,_cas8a2;_CRISPR-associated_protein_Csa4
K14393|actP;_cation/acetate_symporter
K23349|dmsD;_putative_dimethyl_sulfoxide_reductase_chaperone
K11477|glcG;_glc_operon_protein_GlcG
K00483|hpaB;_4-hydroxyphenylacetate_3-monooxygenase_[EC:1.14.14.9]
K01342|aprE;_subtilisin_[EC:3.4.21.62]
K14645|K14645;_serine_protease_[EC:3.4.21.-]
K08676|tri;_tricorn_protease_[EC:3.4.21.-]
K02946|RP-S10,_MRPS10,_rpsJ;_small_subunit_ribosomal_protein_S10
K01026|pct;_propionate_CoA-transferase_[EC:2.8.3.1]
K01256|pepN;_aminopeptidase_N_[EC:3.4.11.2]
K02911|RP-L32,_MRPL32,_rpmF;_large_subunit_ribosomal_protein_L32
K06909|xtmB;_phage_terminase_large_subunit
K01998|livM;_branched-chain_amino_acid_transport_system_permease_protein
K15510|fgd1;_coenzyme_F420-dependent_glucose-6-phosphate_dehydrogenase_[EC:1.1.98.2]
K21567|fnr;_ferredoxin/flavodoxin---NADP+_reductase_[EC:1.18.1.2_1.19.1.1]
K19588|dopDH;_2,5-dioxopentanoate_dehydrogenase_[EC:1.2.1.26]
K01907|AACS,_acsA;_acetoacetyl-CoA_synthetase_[EC:6.2.1.16]
K19135|csx14;_CRISPR-associated_protein_Csx14
K02359|EGH;_beta-1,4-mannosyltransferase_[EC:2.4.1.-]
K06904|GP4;_Escherichia/Staphylococcus_phage_prohead_protease
K21417|acoB;_acetoin:2,6-dichlorophenolindophenol_oxidoreductase_subunit_beta_[EC:1.1.1.-]
K04063|osmC,_ohr;_lipoyl-dependent_peroxiredoxin_[EC:1.11.1.28]
K02026|ABC.MS.P1;_multiple_sugar_transport_system_permease_protein
K11071|potB;_spermidine/putrescine_transport_system_permease_protein
K07401|K07401;_selenoprotein_W-related_protein
K00856|ADK,_adoK;_adenosine_kinase_[EC:2.7.1.20]
K00113|glpC;_glycerol-3-phosphate_dehydrogenase_subunit_C
K18929|lldF;_L-lactate_dehydrogenase_complex_protein_LldF
K15358|ena;_enamidase_[EC:3.5.2.18]
K10218|ligK,_galC;_4-hydroxy-4-methyl-2-oxoglutarate_aldolase_[EC:4.1.3.17]
K01485|codA;_cytosine/creatinine_deaminase_[EC:3.5.4.1_3.5.4.21]
K08978|TC.BAT1;_bacterial/archaeal_transporter_family_protein
K07396|K07396;_putative_protein-disulfide_isomerase
K15372|toa;_taurine---2-oxoglutarate_transaminase_[EC:2.6.1.55]
K14259|kdaD,_xacE,_kdxD;_2-dehydro-3-deoxy-D-arabinonate_dehydratase_[EC:4.2.1.141]
K02892|RP-L23,_MRPL23,_rplW;_large_subunit_ribosomal_protein_L23
K08223|fsr;_MFS_transporter,_FSR_family,_fosmidomycin_resistance_protein
K22210|DGLUCY;_D-glutamate_cyclase_[EC:4.2.1.48]
K04485|radA,_sms;_DNA_repair_protein_RadA/Sms
K02012|afuA,_fbpA;_iron(III)_transport_system_substrate-binding_protein
K08976|K08976;_putative_membrane_protein
K22042|hlyU;_ArsR_family_transcriptional_regulator,_virulence_genes_transcriptional_regulator
K05898|kstD;_3-oxosteroid_1-dehydrogenase_[EC:1.3.99.4]
K15975|K15975;_glyoxalase_family_protein
K02381|fdrA;_FdrA_protein
K03518|coxS;_aerobic_carbon-monoxide_dehydrogenase_small_subunit_[EC:1.2.5.3]
K07499|K07499;_putative_transposase
K19761|GGACT;_gamma-glutamylaminecyclotransferase_[EC:2.3.2.-]
K05601|hcp;_hydroxylamine_reductase_[EC:1.7.99.1]
K14340|K14340;_mannosyltransferase_[EC:2.4.1.-]
K06919|K06919;_putative_DNA_primase/helicase
K09695|nodI;_lipooligosaccharide_transport_system_ATP-binding_protein
K15898|pseI,_neuB3;_pseudaminic_acid_synthase_[EC:2.5.1.97]
K02426|sufE;_cysteine_desulfuration_protein_SufE
K07493|K07493;_putative_transposase
K11621|liaG;_lia_operon_protein_LiaG
K03695|clpB;_ATP-dependent_Clp_protease_ATP-binding_subunit_ClpB
K06400|spoIVCA;_site-specific_DNA_recombinase
K14060|pinR;_putative_DNA-invertase_from_lambdoid_prophage_Rac
K15045|RSAD2;_radical_S-adenosyl_methionine_domain-containing_protein_2
K03590|ftsA;_cell_division_protein_FtsA
K01129|dgt;_dGTPase_[EC:3.1.5.1]
K07327|flaD;_archaeal_flagellar_protein_FlaD
K21028|ynjE;_molybdopterin_synthase_sulfurtransferase_[EC:2.8.1.11]
K06197|chaB;_cation_transport_regulator
K13693|gpgS;_glucosyl-3-phosphoglycerate_synthase_[EC:2.4.1.266]
K02448|norD;_nitric_oxide_reductase_NorD_protein
K20950|vpsQ;_polysaccharide_biosynthesis_protein_VpsQ
K25144|lnrL,_sagG;_linearmycin/streptolysin_S_transport_system_ATP-binding_protein
K21349|ggs;_glucosylglycerate_synthase_[EC:2.4.1.268]
K05995|pepE;_dipeptidase_E_[EC:3.4.13.21]
K12264|norV;_anaerobic_nitric_oxide_reductase_flavorubredoxin
K02472|wecC;_UDP-N-acetyl-D-mannosaminuronic_acid_dehydrogenase_[EC:1.1.1.336]
K07026|E3.1.3.70;_mannosyl-3-phosphoglycerate_phosphatase_[EC:3.1.3.70]
K03321|TC.SULP;_sulfate_permease,_SulP_family
K06894|yfhM;_alpha-2-macroglobulin
K13040|ttrS;_two-component_system,_LuxR_family,_sensor_histidine_kinase_TtrS_[EC:2.7.13.3]
K09694|nodJ;_lipooligosaccharide_transport_system_permease_protein
K08260|cbiZ;_adenosylcobinamide_hydrolase_[EC:3.5.1.90]
K07216|hr;_hemerythrin
K06901|pbuG,_azgA,_ghxP,_ghxQ,_adeQ;_adenine/guanine/hypoxanthine_permease
K23876|hgdC,_fldI,_hadI,_lcdC;_(R)-2-hydroxyacyl-CoA_dehydratese_activating_ATPase_[EC:5.6.1.9]
K08678|UXS1,_uxs;_UDP-glucuronate_decarboxylase_[EC:4.1.1.35]
K03430|phnW;_2-aminoethylphosphonate-pyruvate_transaminase_[EC:2.6.1.37]
K01000|mraY;_phospho-N-acetylmuramoyl-pentapeptide-transferase_[EC:2.7.8.13]
K14121|ehbL;_energy-converting_hydrogenase_B_subunit_L
K08315|hycI;_hydrogenase_3_maturation_protease_[EC:3.4.23.51]
K09758|asdA;_aspartate_4-decarboxylase_[EC:4.1.1.12]
K08972|K08972;_putative_membrane_protein
K18926|lmrB;_MFS_transporter,_DHA2_family,_lincomycin_resistance_protein
K01548|kdpC;_potassium-transporting_ATPase_KdpC_subunit
K02486|K02486;_two-component_system,_sensor_kinase_[EC:2.7.13.3]
K22082|mgsB;_methylamine---glutamate_N-methyltransferase_subunit_B_[EC:2.1.1.21]
K02596|nifX;_nitrogen_fixation_protein_NifX
K01421|yhgE;_putative_membrane_protein
K01115|PLD1_2;_phospholipase_D1/2_[EC:3.1.4.4]
K01709|rfbG;_CDP-glucose_4,6-dehydratase_[EC:4.2.1.45]
K22081|mgsA;_methylamine---glutamate_N-methyltransferase_subunit_A_[EC:2.1.1.21]
K21908|hdeD;_membrane_protein_HdeD
K01534|zntA;_Zn2+/Cd2+-exporting_ATPase_[EC:7.2.2.12_7.2.2.21]
K14099|ehaH;_energy-converting_hydrogenase_A_subunit_H
K03561|exbB;_biopolymer_transport_protein_ExbB
K03685|rnc,_DROSHA,_RNT1;_ribonuclease_III_[EC:3.1.26.3]
K12999|rgpI;_glucosyltransferase_[EC:2.4.1.-]
K20534|gtrB;_polyisoprenyl-phosphate_glycosyltransferase_[EC:2.4.-.-]
K24915|TMEM175;_TMEM175_potassium_channel_family_protein
K01546|kdpA;_potassium-transporting_ATPase_potassium-binding_subunit
K21993|fdhC;_formate_transporter
K13015|wbpA;_UDP-N-acetyl-D-glucosamine_dehydrogenase_[EC:1.1.1.136]
K18288|ict-Y;_itaconate_CoA-transferase_[EC:2.8.3.-]
K07284|srtA;_sortase_A_[EC:3.4.22.70]
K04749|rsbV;_anti-sigma_B_factor_antagonist
K14110|ehbA;_energy-converting_hydrogenase_B_subunit_A
K04757|rsbW;_serine/threonine-protein_kinase_RsbW_[EC:2.7.11.1]
K00978|rfbF;_glucose-1-phosphate_cytidylyltransferase_[EC:2.7.7.33]
K06317|bofA;_inhibitor_of_the_pro-sigma_K_processing_machinery
K14112|ehbC;_energy-converting_hydrogenase_B_subunit_C
K07315|rsbU_P;_phosphoserine_phosphatase_RsbU/P_[EC:3.1.3.3]
K14103|ehaL;_energy-converting_hydrogenase_A_subunit_L
K14114|ehbE;_energy-converting_hydrogenase_B_subunit_E
K14101|ehaJ;_energy-converting_hydrogenase_A_subunit_J
K14094|ehaC;_energy-converting_hydrogenase_A_subunit_C
K24180|mleP;_malate_permease_and_related_proteins
K25142|lnrN,_sagI;_linearmycin/streptolysin_S_transport_system_permease_protein
K22516|fdhA;_formate_dehydrogenase_(coenzyme_F420)_alpha_subunit_[EC:1.17.98.3_1.8.98.6]
K23393|murT;_lipid_II_isoglutaminyl_synthase_(glutamine-hydrolysing)_[EC:6.3.5.13]
K19310|bcrB;_bacitracin_transport_system_permease_protein
K07009|gatD;_lipid_II_isoglutaminyl_synthase_(glutamine-hydrolysing)_[EC:6.3.5.13]
K14096|ehaE;_energy-converting_hydrogenase_A_subunit_E
K03208|wcaI;_putative_colanic_acid_biosynthesis_glycosyltransferase_WcaI
K05715|2PGK;_2-phosphoglycerate_kinase_[EC:2.7.2.16]
K12452|ascC,_ddhC,_rfbH;_CDP-4-dehydro-6-deoxyglucose_reductase,_E1_[EC:1.17.1.1]
K19003|mgdA;_1,2-diacylglycerol_3-beta-glucosyltransferase_[EC:2.4.1.336]
K14107|ehaP;_energy-converting_hydrogenase_A_subunit_P
K14093|ehaB;_energy-converting_hydrogenase_A_subunit_B
K14098|ehaG;_energy-converting_hydrogenase_A_subunit_G
K03559|exbD;_biopolymer_transport_protein_ExbD
K14109|ehaR;_energy-converting_hydrogenase_A_subunit_R
K01547|kdpB;_potassium-transporting_ATPase_ATP-binding_subunit_[EC:7.2.2.6]
K07001|K07001;_NTE_family_protein
K10979|ku;_DNA_end-binding_protein_Ku
K25227|sdsA1;_linear_primary-alkylsulfatase_[EC:3.1.6.21]
K14111|ehbB;_energy-converting_hydrogenase_B_subunit_B
K00091|E1.1.1.219;_dihydroflavonol-4-reductase_[EC:1.1.1.219]
K13566|NIT2,_yafV;_omega-amidase_[EC:3.5.1.3]
K02523|ispB;_octaprenyl-diphosphate_synthase_[EC:2.5.1.90]
K13787|idsA;_geranylgeranyl_diphosphate_synthase,_type_I_[EC:2.5.1.1_2.5.1.10_2.5.1.29]
K14092|ehaA;_energy-converting_hydrogenase_A_subunit_A
K06988|fno;_8-hydroxy-5-deazaflavin:NADPH_oxidoreductase_[EC:1.5.1.40]
K14097|ehaF;_energy-converting_hydrogenase_A_subunit_F
K14123|ehbN;_energy-converting_hydrogenase_B_subunit_N
K19266|E1.2.1.22;_lactaldehyde_dehydrogenase_[EC:1.2.1.22]
K07646|kdpD;_two-component_system,_OmpR_family,_sensor_histidine_kinase_KdpD_[EC:2.7.13.3]
K19817|fprA;_coenzyme_F420H2_oxidase_[EC:1.5.3.22]
K05716|CPGS;_cyclic_2,3-diphosphoglycerate_synthase_[EC:6.5.1.9]
K14095|ehaD;_energy-converting_hydrogenase_A_subunit_D
K14125|ehbP;_energy-converting_hydrogenase_B_subunit_P
K16703|wcaL,_amsK,_cpsK;_colanic_acid/amylovoran/stewartan_biosynthesis_glycosyltransferase_WcaL/AmsK/CpsK_[EC:2.4.-.-]
K14653|arfB;_2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one_5'-monophosphate_deformylase_[EC:3.5.1.102]
K14115|ehbF;_energy-converting_hydrogenase_B_subunit_F
K14106|ehaO;_energy-converting_hydrogenase_A_subunit_O
K14120|ehbK;_energy-converting_hydrogenase_B_subunit_K
K14105|ehaN;_energy-converting_hydrogenase_A_subunit_N
K25150|narA;_polyether_ionophore_transport_system_ATP-binding_protein
K14117|ehbH;_energy-converting_hydrogenase_B_subunit_H
K14108|ehaQ;_energy-converting_hydrogenase_A_subunit_Q
K14104|ehaM;_energy-converting_hydrogenase_A_subunit_M
K18815|aac6-I;_aminoglycoside_6'-N-acetyltransferase_I_[EC:2.3.1.82]
K14122|ehbM;_energy-converting_hydrogenase_B_subunit_M
K13075|ahlD,_aiiA,_attM,_blcC;_N-acyl_homoserine_lactone_hydrolase_[EC:3.1.1.81]
K14113|ehbD;_energy-converting_hydrogenase_B_subunit_D
K14124|ehbO;_energy-converting_hydrogenase_B_subunit_O
K06015|E3.5.1.81;_N-acyl-D-amino-acid_deacylase_[EC:3.5.1.81]
K01779|racD;_aspartate_racemase_[EC:5.1.1.13]
K00545|COMT;_catechol_O-methyltransferase_[EC:2.1.1.6]
K20454|dml;_2,3-dimethylmalate_lyase_[EC:4.1.3.32]
K10956|SEC61A;_protein_transport_protein_SEC61_subunit_alpha
K16789|thiT;_thiamine_transporter
K01854|glf;_UDP-galactopyranose_mutase_[EC:5.4.99.9]
K22133|AAE3;_oxalate---CoA_ligase_[EC:6.2.1.8]
K12941|abgB;_aminobenzoyl-glutamate_utilization_protein_B
K07031|hddA;_D-glycero-alpha-D-manno-heptose-7-phosphate_kinase_[EC:2.7.1.168]
K17713|bamB;_outer_membrane_protein_assembly_factor_BamB
K20151|fucT;_alpha(1,3/1,4)_fucosyltransferase_[EC:2.4.1.65_2.4.1.152]
K19341|nosY;_Cu-processing_system_permease_protein
K18166|FOXRED1;_FAD-dependent_oxidoreductase_domain-containing_protein_1
K00111|glpA,_glpD;_glycerol-3-phosphate_dehydrogenase_[EC:1.1.5.3]
K01648|ACLY;_ATP_citrate_(pro-S)-lyase_[EC:2.3.3.8]
K08738|CYC;_cytochrome_c
K02377|TSTA3,_fcl;_GDP-L-fucose_synthase_[EC:1.1.1.271]
K19064|lysDH;_lysine_6-dehydrogenase_[EC:1.4.1.18]
K08651|E3.4.21.66;_thermitase_[EC:3.4.21.66]
K17810|asl;_D-aspartate_ligase_[EC:6.3.1.12]
K02474|wbpO;_UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine_dehydrogenase_[EC:1.1.1.136_1.1.1.-]
K12339|cysM;_S-sulfo-L-cysteine_synthase_(O-acetyl-L-serine-dependent)_[EC:2.5.1.144]
K09711|lipS1;_lipoyl_synthase
K15231|aclB;_ATP-citrate_lyase_beta-subunit_[EC:2.3.3.8]
K14445|SLC13A2_3_5;_solute_carrier_family_13_(sodium-dependent_dicarboxylate_transporter),_member_2/3/5
K07397|yhfA;_putative_redox_protein
K03658|helD;_DNA_helicase_IV_[EC:5.6.2.4]
K16907|K16907;_fluoroquinolone_transport_system_ATP-binding_protein_[EC:7.6.2.-]
K01643|citF;_citrate_lyase_subunit_alpha_/_citrate_CoA-transferase_[EC:2.8.3.10]
K05994|E3.4.11.10;_bacterial_leucyl_aminopeptidase_[EC:3.4.11.10]
K22905|stf3;_omega-hydroxy-beta-dihydromenaquinone-9_sulfotransferase_[EC:2.8.2.40]
K03743|pncC;_nicotinamide-nucleotide_amidase_[EC:3.5.1.42]
K18023|mbhJ;_membrane-bound_hydrogenase_subunit_mbhJ_[EC:1.12.7.2]
K22390|ACP7;_acid_phosphatase_type_7
K18017|mbhK;_membrane-bound_hydrogenase_subunit_beta_[EC:1.12.7.2]
K06188|aqpZ;_aquaporin_Z
K18016|mbhL;_membrane-bound_hydrogenase_subunit_alpha_[EC:1.12.7.2]
K06969|rlmI;_23S_rRNA_(cytosine1962-C5)-methyltransferase_[EC:2.1.1.191]
K24119|ahpC;_NADH-dependent_peroxiredoxin_subunit_C_[EC:1.11.1.26]
K01385|E3.4.23.42;_thermopsin_[EC:3.4.23.42]
K07232|CHAC,_chaC;_glutathione-specific_gamma-glutamylcyclotransferase_[EC:4.3.2.7]
K06930|bat;_HTH-type_transcriptional_regulator,_bacterioopsin_transcriptional_activator_and_related_proteins
K12940|abgA;_aminobenzoyl-glutamate_utilization_protein_A
K00467|E1.13.12.4;_lactate_2-monooxygenase_[EC:1.13.12.4]
K23348|dmsR;_HTH-type_transcriptional_regulator,_dimethyl_sulfoxide_reductase_transcription_regulator
K03423|E1.8.1.13;_bis-gamma-glutamylcystine_reductase_[EC:1.8.1.13]
K19665|pssA;_archaetidylserine_synthase_[EC:2.7.8.38]
K06415|spoVR;_stage_V_sporulation_protein_R
K11777|K11777;_HAD_superfamily_phosphatase
K06013|STE24;_STE24_endopeptidase_[EC:3.4.24.84]
K01092|E3.1.3.25,_IMPA,_suhB;_myo-inositol-1(or_4)-monophosphatase_[EC:3.1.3.25]
K23305|gvpE;_PadR_family_transcriptional_regulator,_activator_of_gas_vesicle_formation
K02234|cobW;_cobalamin_biosynthesis_protein_CobW
K18013|kce;_3-keto-5-aminohexanoate_cleavage_enzyme_[EC:2.3.1.247]
K11960|urtB;_urea_transport_system_permease_protein
K06048|gshA,_ybdK;_glutamate---cysteine_ligase_/_carboxylate-amine_ligase_[EC:6.3.2.2_6.3.-.-]
K07461|K07461;_putative_endonuclease
K07180|prkA;_serine_protein_kinase
K00273|DAO,_aao;_D-amino-acid_oxidase_[EC:1.4.3.3]
K18218|tet35;_tetracycline_resistance_efflux_pump
K26272|dgcN;_D-glutamate_N-acetyltransferase_[EC:2.3.1.312]
K25028|btuD;_cobalamin_transport_system_ATP-binding_protein_[EC:7.6.2.8]
K26939|norM,_mdtK;_MATE_family,_multidrug_efflux_pump
K00864|glpK,_GK;_glycerol_kinase_[EC:2.7.1.30]
K05275|E1.1.1.65;_pyridoxine_4-dehydrogenase_[EC:1.1.1.65]
K22199|ppm;_phosphopentomutase_[EC:5.4.2.7]
K07400|nfuA;_Fe/S_biogenesis_protein_NfuA
K24872|yvoF;_heptaprenylglycerol_acetyltransferase_[EC:2.3.1.-]
K06895|lysE,_argO;_L-lysine_exporter_family_protein_LysE/ArgO
K18290|ich-Y;_itaconyl-CoA_hydratase_[EC:4.2.1.56]
K10238|thuG,_sugB;_trehalose/maltose_transport_system_permease_protein
K03451|TC.BCT;_betaine/carnitine_transporter,_BCCT_family
K00265|gltB;_glutamate_synthase_(NADPH)_large_chain_[EC:1.4.1.13]
K21990|yfdC;_formate-nitrite_transporter_family_protein
K22024|pdxA2;_4-phospho-D-threonate_3-dehydrogenase_/_4-phospho-D-erythronate_3-dehydrogenase_[EC:1.1.1.408_1.1.1.409]
K10844|ERCC2,_XPD;_DNA_excision_repair_protein_ERCC-2_[EC:5.6.2.3]
K22369|EPHX4;_epoxide_hydrolase_4_[EC:3.3.-.-]
K22129|dtnK,_denK;_D-threonate/D-erythronate_kinase_[EC:2.7.1.219_2.7.1.220]
K05846|opuBD;_osmoprotectant_transport_system_permease_protein
K03534|rhaM;_L-rhamnose_mutarotase_[EC:5.1.3.32]
K05879|dhaL;_phosphoenolpyruvate---glycerone_phosphotransferase_subunit_DhaL_[EC:2.7.1.121]
K04642|hop;_halorhodopsin
K01455|E3.5.1.49;_formamidase_[EC:3.5.1.49]
K02784|ptsH;_phosphocarrier_protein_HPr
K06952|yfdR;_5'-nucleotidase_[EC:3.1.3.89]
K00042|garR,_glxR;_2-hydroxy-3-oxopropionate_reductase_[EC:1.1.1.60]
K04641|bop;_bacteriorhodopsin
K26284|csg;_S-layer_glycoprotein
K23107|yajO;_1-deoxyxylulose-5-phosphate_synthase_[EC:1.1.-.-]
K16898|addA;_ATP-dependent_helicase/nuclease_subunit_A_[EC:5.6.2.4_3.1.-.-]
